公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
000705,浙江震元,浙江震元股份有限公司,"ZHEJIANG ZHENYUAN CO.,LTD",浙江省绍兴市解放北路289号,705,浙江震元,1997/4/10,"334,123,286","281,930,438",,,,0,0,华东,浙江,绍兴市,F 批发零售,www.zjzy.com
000706,瓦 轴Ｂ,瓦房店轴承股份有限公司,WAFANGDIAN BEARING COMPANY LIMITED,辽宁省瓦房店市北共济街一段1号,,,,0,0,200706,瓦 轴Ｂ,1997/3/25,"158,600,000","158,598,875",东北,辽宁,大连市,C 制造业,www.zwz-bearing.com.cn
000707,双环科技,湖北双环科技股份有限公司,"HUBEI SHUANGHUAN SCIENCE AND TECHNOLOGYSTOCK CO.,LTD",湖北省应城市东马坊团结大道26号,707,双环科技,1997/4/15,"464,145,765","464,142,985",,,,0,0,华中,湖北,孝感市,C 制造业,www.hbshkj.cn
000708,大冶特钢,大冶特殊钢股份有限公司,"DAYE SPECIAL STEEL CO .,LTD",湖北省黄石市黄石大道316号,708,大冶特钢,1997/3/26,"449,408,480","449,408,480",,,,0,0,华中,湖北,黄石市,C 制造业,www.dayesteel.com.cn
000709,河北钢铁,河北钢铁股份有限公司,HEBEI IRON AND STEEL CO.，LTD.,中国河北省石家庄市体育南大街385号,709,河北钢铁,1997/4/16,"10,618,607,852","10,616,880,086",,,,0,0,华北,河北,石家庄市,C 制造业,www.hebgtgf.com
000710,天兴仪表,成都天兴仪表股份有限公司,"CHENGDU TIANXING INSTRUMENT AND METER CO,LTD",四川省成都市龙泉驿区十陵镇,710,天兴仪表,1997/4/22,"151,200,000","151,200,000",,,,0,0,西南,四川,成都市,C 制造业,www.txyb.com.cn
000711,*ST京蓝,黑龙江京蓝科技股份有限公司,"HeiLongJiang Kingland Technology Co.,Ltd.",黑龙江省哈尔滨经济技术开发区,711,*ST京蓝,1997/4/11,"160,898,400","160,898,400",,,,0,0,东北,黑龙江,哈尔滨市,K 房地产,www.tlzy.com.cn
000712,锦龙股份,广东锦龙发展股份有限公司,GUANGDONG GOLDEN DRAGON DEVELOPMENT INC.,广东省东莞市南城区鸿福路106号南峰中心第十二层,712,锦龙股份,1997/4/15,"896,000,000","846,500,000",,,,0,0,华南,广东,东莞市,J 金融业,www.jlgf.com
000713,丰乐种业,合肥丰乐种业股份有限公司,"HEFEI FENGLE SEED.CO.,LTD",安徽省合肥市长江西路501号,713,丰乐种业,1997/4/22,"298,875,968","298,869,855",,,,0,0,华东,安徽,合肥市,A 农林牧渔,www.fengle.com.cn
000715,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司,"CITIC DEVELOPMENT-SHENYANG COMMERCIAL BUILDING(GROUP) CO.,LTD",辽宁省沈阳市和平区太原北街86号,715,中兴商业,1997/5/8,"279,006,000","278,546,329",,,,0,0,东北,辽宁,沈阳市,F 批发零售,www.zxbusiness.com
000716,黑芝麻,南方黑芝麻集团股份有限公司,NANFANG BLACK SESAME GRUOP CO.，LTD,广西壮族自治区容县城南工业集中区黑五类产业园,716,黑芝麻,1997/4/18,"318,542,222","222,339,550",,,,0,0,华南,广西,南宁市,C 制造业,www.nanfangfood.com
000717,韶钢松山,广东韶钢松山股份有限公司,"SGIS Songshan Co., Ltd.",广东省韶关市曲江区马坝,717,韶钢松山,1997/5/8,"2,419,524,410","1,669,524,410",,,,0,0,华南,广东,韶关市,C 制造业,www.sgss.com.cn
000718,苏宁环球,苏宁环球股份有限公司,"Suning Universal Co.,LTD",吉林省吉林经济技术开发区九站街718号,718,苏宁环球,1997/4/8,"2,656,150,329","1,910,491,034",,,,0,0,东北,吉林,吉林市,K 房地产,www.suning-universal.com
000719,大地传媒,中原大地传媒股份有限公司,"Central China Land Media CO.,LTD",河南省焦作市塔南路45号,719,大地传媒,1997/3/31,"787,079,807","513,147,154",,,,0,0,华中,河南,焦作市,R 文化传播,
000720,新能泰山,山东新能泰山发电股份有限公司,"SHANDONG XINNENG TAISHAN POWER GENERATION CO.,LTD.",山东省泰安市普照寺路5号,720,新能泰山,1997/5/9,"863,460,000","863,459,250",,,,0,0,华东,山东,泰安市,D 水电煤气,www.sz000720.com
000721,西安饮食,西安饮食股份有限公司,"Xi""AN CATERING CO., LTD.",陕西省西安市碑林区南二环西段27号西安旅游大厦六层,721,西安饮食,1997/4/30,"499,055,920","435,624,070",,,,0,0,西北,陕西,西安市,H 住宿餐饮,www.xcsg.com
